Path [0001]	:	['JAK', 'BKK', 'HKG', 'TPE', 'TOK', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.449, -1.68, -1.768]

Path [0106]	:	['JAK', 'BKK', 'PEK', 'TPE', 'TOK', 'KOR', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.449, -1.768, -1.68]

Path [0107]	:	['JAK', 'BKK', 'PEK', 'TPE', 'KOR', 'HKG', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.768, -1.68, -1.449]

Path [0108]	:	['JAK', 'BKK', 'PEK', 'TPE', 'KOR', 'TOK', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.927, -1.768, -1.449, -1.68]

Path [0109]	:	['JAK', 'BKK', 'PEK', 'TOK', 'HKG', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.68, -1.927, -1.768]

Path [0110]	:	['JAK', 'BKK', 'PEK', 'TOK', 'HKG', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.68, -1.768, -1.927]

Path [0111]	:	['JAK', 'BKK', 'PEK', 'TOK', 'TPE', 'HKG', 'KOR']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.927, -1.68, -1.768]

Path [0112]	:	['JAK', 'BKK', 'PEK', 'TOK', 'TPE', 'KOR', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.927, -1.768, -1.68]

Path [0113]	:	['JAK', 'BKK', 'PEK', 'TOK', 'KOR', 'HKG', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.768, -1.68, -1.927]

Path [0114]	:	['JAK', 'BKK', 'PEK', 'TOK', 'KOR', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.449, -1.768, -1.927, -1.68]

Path [0115]	:	['JAK', 'BKK', 'PEK', 'KOR', 'HKG', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.68, -1.927, -1.449]

Path [0116]	:	['JAK', 'BKK', 'PEK', 'KOR', 'HKG', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.68, -1.449, -1.927]

Path [0117]	:	['JAK', 'BKK', 'PEK', 'KOR', 'TPE', 'HKG', 'TOK']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.927, -1.68, -1.449]

Path [0118]	:	['JAK', 'BKK', 'PEK', 'KOR', 'TPE', 'TOK', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.927, -1.449, -1.68]

Path [0119]	:	['JAK', 'BKK', 'PEK', 'KOR', 'TOK', 'HKG', 'TPE']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.449, -1.68, -1.927]

Path [0120]	:	['JAK', 'BKK', 'PEK', 'KOR', 'TOK', 'TPE', 'HKG']
Sentiment	:	[3.029, -1.453, 2.778, -1.768, -1.449, -1.927, -1.68]

Path [0121]	:	['JAK', 'HKG', 'BKK', 'TPE', 'TOK', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, -1.449, -1.768, 2.778]

Path [0122]	:	['JAK', 'HKG', 'BKK', 'TPE', 'TOK', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, -1.449, 2.778, -1.768]

Path [0123]	:	['JAK', 'HKG', 'BKK', 'TPE', 'KOR', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, -1.768, -1.449, 2.778]

Path [0124]	:	['JAK', 'HKG', 'BKK', 'TPE', 'KOR', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, -1.768, 2.778, -1.449]

Path [0125]	:	['JAK', 'HKG', 'BKK', 'TPE', 'PEK', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, 2.778, -1.449, -1.768]

Path [0126]	:	['JAK', 'HKG', 'BKK', 'TPE', 'PEK', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, -1.927, 2.778, -1.768, -1.449]

Path [0127]	:	['JAK', 'HKG', 'BKK', 'TOK', 'TPE', 'KOR', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, -1.927, -1.768, 2.778]

Path [0128]	:	['JAK', 'HKG', 'BKK', 'TOK', 'TPE', 'PEK', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, -1.927, 2.778, -1.768]

Path [0129]	:	['JAK', 'HKG', 'BKK', 'TOK', 'KOR', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, -1.768, -1.927, 2.778]

Path [0130]	:	['JAK', 'HKG', 'BKK', 'TOK', 'KOR', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, -1.768, 2.778, -1.927]

Path [0131]	:	['JAK', 'HKG', 'BKK', 'TOK', 'PEK', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, 2.778, -1.927, -1.768]

Path [0132]	:	['JAK', 'HKG', 'BKK', 'TOK', 'PEK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.68, -1.453, -1.449, 2.778, -1.768, -1.927]

Path [0133]	:	['JAK', 'HKG', 'BKK', 'KOR', 'TPE', 'TOK', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, -1.927, -1.449, 2.778]

Path [0134]	:	['JAK', 'HKG', 'BKK', 'KOR', 'TPE', 'PEK', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, -1.927, 2.778, -1.449]

Path [0135]	:	['JAK', 'HKG', 'BKK', 'KOR', 'TOK', 'TPE', 'PEK']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, -1.449, -1.927, 2.778]

Path [0136]	:	['JAK', 'HKG', 'BKK', 'KOR', 'TOK', 'PEK', 'TPE']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, -1.449, 2.778, -1.927]

Path [0137]	:	['JAK', 'HKG', 'BKK', 'KOR', 'PEK', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, 2.778, -1.927, -1.449]

Path [0138]	:	['JAK', 'HKG', 'BKK', 'KOR', 'PEK', 'TOK', 'TPE']
Sentiment	:	[3.029, -1.68, -1.453, -1.768, 2.778, -1.449, -1.927]

Path [0139]	:	['JAK', 'HKG', 'BKK', 'PEK', 'TPE', 'TOK', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, 2.778, -1.927, -1.449, -1.768]

Path [0140]	:	['JAK', 'HKG', 'BKK', 'PEK', 'TPE', 'KOR', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, 2.778, -1.927, -1.768, -1.449]

Path [0141]	:	['JAK', 'HKG', 'BKK', 'PEK', 'TOK', 'TPE', 'KOR']
Sentiment	:	[3.029, -1.68, -1.453, 2.778, -1.449, -1.927, -1.768]

Path [0142]	:	['JAK', 'HKG', 'BKK', 'PEK', 'TOK', 'KOR', 'TPE']
Sentiment	:	[3.029, -1.68, -1.453, 2.778, -1.449, -1.768, -1.927]

Path [0143]	:	['JAK', 'HKG', 'BKK', 'PEK', 'KOR', 'TPE', 'TOK']
Sentiment	:	[3.029, -1.68, -1.453, 2.778, -1.768, -1.927, -1.449]

